No,,Location,Thing,Group,,
18 ,,bowling alley,bowling ball,2-4,,
19 ,,Billiard room,Billiard,2-4,,
20 ,,bus,pouch,2-4,,
21 ,,bar,beer,2-4,,
1 ,,subway station,subway system,2-6,,
2 ,,grandmother's house,smartphone,2-6,,
3 ,,Inha University,computer,2-6,,
4 ,,Bus station,bus  ,2-6,,
5 ,,Bupyeong,subway,2-6,,
6 ,,Inha University,subway,2-6,,
7 ,,wolmi do,rides,2-6,,
8 ,,home,pot,2-6,,
9 ,,park,tree,2-6,,
10 ,,cafe,coffee,2-6,,
11 ,,chiken store,chicken,2-6,,
12 ,,cartoon cafe,cartoon,2-6,,
13 ,,Daerim station,subway,2-6,,
14 ,,supermarket,part-time job,2-6,,
15 ,,wharf,Grilled shellfish,2-6,,
16 ,,Bupyeong,pork,2-6,,
17 ,,sang-dong,tree,2-6,,
18 ,,home,pot,2-6,,
19 ,,Bucheon,octopus,2-6,,
20 ,,Restaurant,cold noodles,2-6,,
21 ,,park,walking,2-6,,
22 ,,inu,tree,2-6,,
23 ,,cafe,assignment,2-6,,
24 ,,library,flower pot,2-6,,
25 ,,Dongchun,shopping,2-6,,
26 ,,Bucheon,food,2-6,,
27 ,,Sondo,walking,2-6,,
28 ,,kimbab heaven,rice,2-6,,
29 ,,bus stop,bus,2-6,,
30 ,,Incheon University station,subway,2-6,,
31 ,,Incheon terminal,bus,2-6,,
32 ,,inu,street,2-6,,
33 ,,inu,flower pot,2-6,,
34 ,,Dae-gu bus station,bus,2-6,,
35 ,,Bucheon ,window,2-6,,
36 ,,Restaurant,pork,2-6,,
37 ,,Jeon-ju,Hanbok,2-6,,
38 ,,Jeon-ju,street food ,2-6,,
39 ,,Restaurant,food,2-6,,
1 ,,518 lecture room,"pencil, paper",2-7,,
2 ,,216 lecture room,book,2-7,,
3 ,,woninjae,escalator,2-7,,
4 ,,university,book,2-7,,
5 ,,cafe,stair,2-7,,
6 ,,inu,walking,2-7,,
7 ,,213 lecture room,"pencil, paper",2-7,,
8 ,,bus stop,bus system,2-7,,
9 ,,student restaurant,ticket vending machine,2-7,,
10 ,,expressway,car,2-7,,
11 ,,clothing store,fitting room,2-7,,
12 ,,house,food,2-7,,
13 ,,house,flower pot,2-7,,
14 ,,chinese academy,book,2-7,,
15 ,,PC room,computer,2-7,,
16 ,,home,TV,2-7,,
17 ,,home,computer,2-7,,
18 ,,Bucheon,dinner,2-7,,
19 ,,Ansan,bus,2-7,,
20 ,,house,computer,2-7,,
21 ,,triple street,camera,2-7,,
22 ,,house,computer,2-7,,
23 ,,house,dinner,2-7,,
24 ,,woninjae,subway,2-7,,
25 ,,443 lecture room,"book, pencil",2-7,,
26 ,,song-nae station,Bicycle,2-7,,
27 ,,Ansan,bus,2-7,,
28 ,,house,computer,2-7,,
29 ,,house,computer,2-7,,
30 ,,house,computer,2-7,,
31 ,,326 lecture room,computer,2-7,,
32 ,,shangchai,food,2-7,,
33 ,,technopark station,subway,2-7,,
34 ,,515 lecture room,book,2-7,,
35 ,,Bupyeong,food,2-7,,
36 ,,326 lecture room,computer,2-7,,
37 ,,house,newspaper,2-7,,
38 ,,house,computer,2-7,,
39 ,,house,food,2-7,,
40 ,,house,computer,2-7,,
41 ,,house,computer,2-7,,
42 ,,house,computer,2-7,,
1,,classroom,laptop,2-8,,
2,,classroom,note ,2-8,,
3,,classroom,laptop,2-8,,
4,,university,book,2-8,,
5,,internet cafe,desktop,2-8,,
6,,karaoke room,microphone,2-8,,
7,,subway,smartphone,2-8,,
8,,home,smartphone,2-8,,
9,,home,smartphone,2-8,,
10,,home,smartphone,2-8,,
11,,university,book,2-8,,
12,,market,smartphone,2-8,,
13,,home,book,2-8,,
14,,university,smartphone,2-8,,
15,,cafe,laptop,2-8,,
16,,restaurant,smartphone,2-8,,
17,,store,smartphone,2-8,,
18,,home,tv,2-8,,
19,,resturant,smartphone,2-8,,
20,,restaurant,smartphone,2-8,,
21,,home,smartphone,2-8,,
22,,cafe,smartphone,2-8,,
23,,bus,smartphone,2-8,,
24,,street,smartphone,2-8,,
25,,subway,smartphone,2-8,,
26,,cafe,coffee machine,2-8,,
27,,home,smartphone,2-8,,
28,,bus,smartphone,2-8,,
29,,bus,smartphone,2-8,,
30,,home,laptop,2-8,,
31,,home,laptop,2-8,,
32,,restaurant,smartphone,2-8,,
33,,home,book,2-8,,
34,,home,smartphone,2-8,,
35,,home,book,2-8,,
36,,home,book,2-8,,
37,,university,smartphone,2-8,,
38,,university,smartphone,2-8,,
39,,school cafeteria,tv,2-8,,
40,,university,smartphone,2-8,,
41,,university,smartphone,2-8,,
42,,university,smartphone,2-8,,
43,,restaurant,smartphone,2-8,,
44,,home,book,2-8,,
45,,home,desktop,2-8,,
46,,classroom,desktop,2-8,,
47,,classroom,desktop,2-8,,
48,,classroom,desktop,2-8,,
49,,school cafeteria,smartphone,2-8,,
50,,university,book,2-8,,
51,,university,laptop,2-8,,
52,,restaurant,smartphone,2-8,,
53,,subway,smartphone,2-8,,
54,,university,smartphone,2-8,,
55,,subway,smartphone,2-8,,
56,,restaurant,smartphone,2-8,,
57,,park,smartphone,2-8,,
58,,coast,smartphone,2-8,,
59,,hair salon,smartphone,2-8,,
60,,home,smartphone,2-8,,
61,,coast,smartphone,2-8,,
62,,restaurant,smartphone,2-8,,
63,,ice cream shop,smartphone,2-8,,
1,,Dormitory,Pen,3-1,,
2,,Dormitory,Chess,3-1,,
3,,Dormitory,Book,3-1,,
4,,Book the ticket to Busan(Bus terminal),Cell phone,3-1,,
5,,On the way to Busan,Bus,3-1,,
6,,Listen to music,Cell phone,3-1,,
7,,On the way to Busan,Bus,3-1,,
8,,Busan,Cars,3-1,,
9,,Busan,Dinner,3-1,,
10,,In the museum,Picture,3-1,,
11,,Busan seashore,Bridge,3-1,,
12,,Busan,Pork,3-1,,
13,,Busan,Beach(sand),3-1,,
14,,Busan,Beach(sand),3-1,,
15,,Busan,Motorcycle,3-1,,
16,,Busan Station,Subway station,3-1,,
17,,Traditional Village,Clothes,3-1,,
18,,Subway Station,Subway,3-1,,
19,,Inha University,Airplane,3-1,,
20,,China town,Gate,3-1,,
21,,Bus,Transfer account,3-1,,
22,,Dormitory,Raspberry pi,3-1,,
23,,Study public organizations,Book,3-1,,
24,,Eating food,Dishes,3-1,,
25,,Dormitory,Book,3-1,,
26,,Dinner,Dishes(eating food),3-1,,
27,,INU,Presentation(have a class),3-1,,
28,,On the road,Icecream,3-1,,
29,,Sea,Handrail,3-1,,
30,,cafe,A cup,3-1,,
31,,Homeplus,Shopping cart,3-1,,
32,,Megabox,Table&chairs,3-1,,
33,,Triple street,Clothes,3-1,,
34,,Central Park,Bicycle,3-1,,
1,,Home,Computer,3-2,,
2,,Restaurant,Table,3-2,,
3,,Home,Bed,3-2,,
4,,School,Experimental machine,3-2,,
5,,PC room,Chair,3-2,,
6,,Home,Speaker,3-2,,
7,,Baths,Key,3-2,,
8,,Home,Scale,3-2,,
9,,Home,Cup,3-2,,
10,,GYM,Babel,3-2,,
11,,Home,Remote control,3-2,,
12,,Street,Bus stop,3-2,,
13,,Home,Bookshelf,3-2,,
14,,Home,Hair dryer,3-2,,
15,,Home,Light,3-2,,
16,,Home,Headset,3-2,,
17,,Home,Charger,3-2,,
18,,Home,Secondary battery,3-2,,
19,,Restroom,Toilet,3-2,,
20,,Home,Calendar,3-2,,
21,,Restaurant,Burner,3-2,,
22,,Home,Pillow,3-2,,
23,,School,Lighter,3-2,,
24,,Street,backpack,3-2,,
25,,Street,Earphone,3-2,,
26,,Restaurant,Chopsticks,3-2,,
27,,Home,Mouse,3-2,,
28,,Lecture room,Board,3-2,,
29,,Lecture room,Book,3-2,,
30,,Lecture room,Keyboard,3-2,,
31,,Restaurant,Radios,3-2,,
32,,Home,Switch,3-2,,
33,,Home,Drawer,3-2,,
34,,Home,Thermostat,3-2,,
35,,Home,Shaver,3-2,,
36,,Park,Street lamp,3-2,,
37,,Restaurant,Spoon,3-2,,
38,,Restroom,Shower head,3-2,,
39,,Street,Bicycle,3-2,,
40,,Bus,Bus card,3-2,,
41,,Bus,Book,3-2,,
42,,Street,Wallet,3-2,,
1 ,,Home,TV&wifi,3-3,,
2 ,,Domitory Room,Sushi,3-3,,
3 ,,University lab,experiment equipment,3-3,,
4 ,,Domitory Room,Dinner,3-3,,
5 ,,PC room,PC&LOL,3-3,,
6 ,,Gym,Exercising,3-3,,
7 ,,House,Cleaning machine,3-3,,
8 ,,Central park,walking,3-3,,
9 ,,Road,Car,3-3,,
10 ,,Starbucks,Coffee,3-3,,
11 ,,House,Exercising crossfit,3-3,,
12 ,,Restaurant,Dinner,3-3,,
13 ,,Home,Doing Laundry,3-3,,
14 ,,Ncstore,Shopping,3-3,,
15 ,,café,Air-conditioner,3-3,,
16 ,,Central park,walking,3-3,,
17 ,,Bank in Mart,atm machine,3-3,,
18 ,,Domitory Room,Ramyon,3-3,,
19 ,,Home,Cleaning machine,3-3,,
20 ,,INU,Road,3-3,,
21 ,,Cafeterua,Ticket Machine,3-3,,
22 ,,Classroom,ppt,3-3,,
23 ,,Subway line 7,subway,3-3,,
24 ,,Domitory Room,cleansing foams,3-3,,
25 ,,Home,Electric inductor to cook,3-3,,
26 ,,Domitory Room,NBA Series,3-3,,
27 ,,Home,printer,3-3,,
28 ,,Cafeteria,Dinner,3-3,,
29 ,,Mart,escalator,3-3,,
30 ,,Convenience Store,SomeThing,3-3,,
31 ,,subway,Webtoon,3-3,,
32 ,,Domitory Room,lunch,3-3,,
33 ,,building,elevator,3-3,,
34 ,,Domitory Room,tv,3-3,,
35 ,,Bus station,bus information machine,3-3,,
36 ,,Domitory Room,Cleaning machine,3-3,,
37 ,,Classroom,Screen,3-3,,
38 ,,Road,Road block,3-3,,
39 ,,Classroom,computer,3-3,,
40 ,,basketball court,Basketball,3-3,,
41 ,,Street,ROAD SIGNAL,3-3,,
42 ,,baseball game palce,batting ball,3-3,,
1 ,,home,laptop,3-4,,
2 ,,Lisan Costco,laptop,3-4,,
3 ,,Convenience Store,pos terminal,3-4,,
4 ,,home,TV,3-4,,
5 ,,Convenience Store,pos terminal,3-4,,
6 ,,home,TV,3-4,,
7 ,,home,laptop,3-4,,
8 ,,seoul grand park,elephant train,3-4,,
9 ,,home,refrigerator,3-4,,
10 ,,Restaurant,wireless bell,3-4,,
11 ,,Convenience Store,pos terminal,3-4,,
12 ,,House,TV,3-4,,
13 ,,subway,escalator,3-4,,
14 ,,home,smartphone,3-4,,
15 ,,library,book,3-4,,
16 ,,lotteria,tissue machine,3-4,,
17 ,,library,book,3-4,,
18 ,,inu,beam projector,3-4,,
19 ,,library,laptop,3-4,,
20 ,,chinese food restaurant,coffee machine,3-4,,
21 ,,physical laboratory,"PC, laboratory equipment",3-4,,
22 ,,company,measuring instrument,3-4,,
23 ,,home,TV,3-4,,
24 ,,home,monitor,3-4,,
25 ,,home,laptop,3-4,,
26 ,,costco,escalator,3-4,,
27 ,,Convenience Store,pos terminal,3-4,,
28 ,,IKEA,light,3-4,,
29 ,,Convenience Store,pos terminal,3-4,,
30 ,,parking lot,car,3-4,,
31 ,,Subway Station,subway,3-4,,
32 ,,home,TV,3-4,,
33 ,,library,laptop,3-4,,
34 ,,restaurant,induction,3-4,,
35 ,,inu,laptop,3-4,,
36 ,,Main gate ,park management office,3-4,,
37 ,,kitchen,plate,3-4,,
38 ,,House,vacuum machine,3-4,,
39 ,,House,air conditioner,3-4,,
40 ,,House,air conditioner,3-4,,
41 ,,House,TV,3-4,,
42 ,,Lotte premium outlet,merchandise,3-4,,
